area, name, level, item type, weapon type, armor position, stats, weapon flags, extra flags, affects, found at
High Tower, "a grey robe", 26, container, none, body, none, none, magic anti-good anti-evil burn_proof, saves -2 armor class -6 , equipped by the master's apprentice
High Tower, "a glinting silver bracelet", 20, jewelry, none, wrist, none, none, magic, armor class -5 , equipped by the master's apprentice
High Tower, "a long grey cloak", 29, clothing, none, neck, none, none, magic anti-good anti-evil, saves -2 armor class -7 , equipped by the master of Neutrality
High Tower, "an iron shod staff", 27, weapon, staff, none, 3d9 (average 15), two-handed, magic, hit roll 3 , equipped by the master of Neutrality
High Tower, "a ward minor", 20, gem, none, hold, none, none, glow magic, armor class -5 , equipped by the master of Neutrality
High Tower, "a black robe", 22, container, none, body, none, none, magic anti-good anti-neutral burn_proof, saves -2 armor class -5 , equipped by a black robed apprentice
High Tower, "an onyx bracelet", 20, jewelry, none, wrist, none, none, magic, damage roll 2 , equipped by a black robed apprentice
High Tower, "a dark black cloak", 29, clothing, none, neck, none, none, magic anti-good anti-neutral, saves -2 armor class -7 , equipped by the master of the black robes
High Tower, "a sharp shard of obsidian", 29, weapon, dagger, none, 4d6 (average 14), none, anti-good, damage roll 3 , equipped by the master of the black robes
High Tower, "a ward minor", 20, gem, none, hold, none, none, glow magic, armor class -5 , equipped by the master of the black robes
High Tower, "a white robe", 22, container, none, body, none, none, magic anti-evil anti-neutral burn_proof, saves -2 armor class -5 , equipped by a white robed apprentice
High Tower, "a white gold bracelet", 20, jewelry, none, wrist, none, none, magic, hit roll 2 , equipped by a white robed apprentice
High Tower, "a white cloak", 29, clothing, none, neck, none, none, magic bless anti-evil anti-neutral, saves -2 armor class -7 , equipped by The master of goodness
High Tower, "an ivory hilted dagger", 27, weapon, dagger, none, 3d8 (average 13), none, magic bless anti-evil, damage roll 2 hit roll 1 , equipped by The master of goodness
High Tower, "a ward minor", 20, gem, none, hold, none, none, glow magic, armor class -5 , equipped by The master of goodness
High Tower, "a spiked collar", 20, armor, none, neck, 2/2/2/0, none, magic, damage roll 2 armor class -2 , equipped by A calico cat
High Tower, "a tight fitting green dragon scale shirt", 37, armor, none, torso, 10/10/10/5, none, magic, armor class -5 dexterity 3 , equipped by The Grand Mistress
High Tower, "a small emerald ring", 20, jewelry, none, finger, none, none, magic, mana 20 , equipped by The Grand Mistress
High Tower, "an emerald bracelet", 20, jewelry, none, wrist, none, none, magic, intelligence 1 armor class -5 , equipped by The Grand Mistress
High Tower, "a ward major", 40, gem, none, hold, none, none, glow magic, saves -2 armor class -10 , equipped by The Grand Mistress
High Tower, "the ebony kris", 46, weapon, dagger, none, 6d6 (average 21), none, magic, damage roll 5 dexterity 2 , equipped by The Grand Mistress
High Tower, "an intricately carved key", 0, key, none, hold, none, none, glow magic, saves -1 , inventory of The Grand Mistress
High Tower, "a large chest", 0, container, none, none, none, none, glow magic, , in room The treasury
High Tower, "a pile of coins", 0, money, none, none, none, none, none, , in container a large chest
High Tower, "a fridge", 0, container, none, none, none, none, hum, , in room Skylar's Hideout
High Tower, "a bottle of Absolut vodka", 0, drink, none, hold, none, none, none, , in container a fridge
High Tower, "a bottle of cranberry juice", 0, drink, none, hold, none, none, none, , in container a fridge
High Tower, "a scroll of transmutation", 20, spell_page, none, hold, none, none, nodrop no_locate no_uncurse, , equipped by the golem
High Tower, "a holstered belt", 0, container, none, waist, none, none, none, , equipped by the master spell binder
High Tower, "a blackened wand", 14, wand, none, hold, none, none, magic, , in container a holstered belt
High Tower, "a silvery key", 0, key, none, none, none, none, none, , equipped by the master spell binder
High Tower, "a bar of adamantite", 0, treasure, none, none, none, none, none, , in room A store room
High Tower, "a bar of mithril", 0, treasure, none, none, none, none, none, , in room A store room
High Tower, "a bar of gold", 0, treasure, none, none, none, none, none, , in room A store room
High Tower, "a bar of silver", 0, treasure, none, none, none, none, none, , in room A store room
High Tower, "a golden altar", 0, container, none, none, none, none, none, , in room The altar
High Tower, "a heart shaped medallion", 13, jewelry, none, neck, none, none, magic bless, constitution -1 wisdom 2 , in container a golden altar
High Tower, "a leather backpack", 0, container, none, body hold, none, none, magic burn_proof, , in room A passage
High Tower, "a seashell ring", 0, boat, none, finger, none, none, magic, , in container a leather backpack
High Tower, "a pair of old boots", 10, clothing, none, feet, none, none, magic, moves 15 , in room A passage
High Tower, "a chameleon poncho", 17, clothing, none, body, none, none, magic, armor class -3 dexterity 2 , in room A passage
High Tower, "a brown cloak", 35, clothing, none, neck, none, none, none, saves -3 armor class -5 , in room A passage
High Tower, "a ring of thaumaturgy", 35, jewelry, none, finger, none, none, inventory, mana 25 wisdom 1 charisma 1 , inventory of Tatorious
Gnome Village, "a toy boomerang", 5, weapon, exotic, none, 2d4 (average 5), none, none, , inventory of a gnome child
Gnome Village, "a gnarled staff", 5, weapon, exotic, none, 1d9 (average 5), none, none, , equipped by a gnome man
Gnome Village, "a toy boomerang", 5, weapon, exotic, none, 2d4 (average 5), none, none, , inventory of a gnome child
Gnome Village, "a gnarled staff", 5, weapon, exotic, none, 1d9 (average 5), none, none, , equipped by a gnome man
Gnome Village, "a gnarled staff", 5, weapon, exotic, none, 1d9 (average 5), none, none, , equipped by a gnome man
Gnome Village, "a toy boomerang", 5, weapon, exotic, none, 2d4 (average 5), none, none, , inventory of a gnome child
Gnome Village, "a wicker basket", 0, container, none, none, none, none, none, , inventory of a gnome scientist
Gnome Village, "a feather staff", 17, weapon, polearm, none, 6d2 (average 9), two-handed, none, hit roll 2 damage roll 3 , inventory of Maeron
Gnome Village, "a kahsita", 21, weapon, polearm, none, 5d4 (average 12), two-handed, glow bless, , inventory of Maeron
Gnome Village, "a zagaye", 26, weapon, polearm, none, 6d3 (average 12), two-handed poison, hum magic, dexterity 1 strength 1 damage roll 1 , inventory of Maeron
Gnome Village, "a tiger trident", 33, weapon, polearm, none, 5d6 (average 17), two-handed, none, , inventory of Maeron
Gnome Village, "a brandestoc", 36, weapon, polearm, none, 4d8 (average 18), flaming two-handed, glow hum bless, , inventory of Maeron
Gnome Village, "a bayengette", 41, weapon, polearm, none, 2d19 (average 20), two-handed, magic bless burn_proof, , inventory of Maeron
Gnome Village, "a sainite", 44, weapon, polearm, none, 3d13 (average 21), vampiric two-handed, none, , inventory of Maeron
Gnome Village, "a buse-daemon", 50, weapon, polearm, none, 6d7 (average 24), two-handed, nodrop, , inventory of Maeron
Gnome Village, "a skiff", 0, boat, none, none, none, none, none, , equipped by a gnome scientist
Gnome Village, "a bloody cloak", 5, armor, none, neck, 4/4/4/0, none, magic, , equipped by a gnome guard
Gnome Village, "a bloody potion", 7, potion, none, none, none, none, none, , inventory of a gnome guard
Gnome Village, "a bloody key", 0, key, none, none, none, none, none, , inventory of a gnome guard
Gnome Village, "a gnome sword", 7, weapon, sword, none, 3d3 (average 6), none, none, , equipped by a gnome guard
Gnome Village, "a gnome sword", 7, weapon, sword, none, 3d3 (average 6), none, none, , equipped by a gnome guard
Gnome Village, "a gnome sword", 7, weapon, sword, none, 3d3 (average 6), none, none, , equipped by a gnome guard
Gnome Village, "a gnome sword", 7, weapon, sword, none, 3d3 (average 6), none, none, , equipped by a gnome guard
Gnome Village, "a studded shield", 5, armor, none, shield, 4/4/4/1, none, none, , equipped by a rat
Gnome Village, "a gnarled staff", 5, weapon, exotic, none, 1d9 (average 5), none, none, , equipped by a large rat
Gnome Village, "a dirty key", 0, key, none, none, none, none, none, , inventory of the troll
Gnome Village, "a pile of coins", 0, money, none, none, none, none, none, , inventory of the fire bat
Gnome Village, "some peanuts", 0, food, none, none, none, none, none, , inventory of the fire bat
Gnome Village, "a studded shield", 5, armor, none, shield, 4/4/4/1, none, none, , inventory of the fire bat
Gnome Village, "an electrum sword", 12, weapon, sword, none, 4d3 (average 8), none, glow magic, , equipped by the chief gnome
Gnome Village, "a bead necklace", 5, jewelry, none, neck, none, none, none, hit roll 1 , equipped by the chief gnome
Gnome Village, "a bat ring", 10, jewelry, none, finger, none, none, magic, moves 15 , equipped by the chief gnome
Gnome Village, "heavy banded mail", 15, armor, none, torso, 6/6/6/0, none, none, , equipped by the king of the hobgoblins
Gnome Village, "a large club", 6, weapon, mace, none, 1d12 (average 6), two-handed, none, hit roll -1 , equipped by the hobgoblin bodyguard
Gnome Village, "a large club", 6, weapon, mace, none, 1d12 (average 6), two-handed, none, hit roll -1 , equipped by the hobgoblin bodyguard
Gnome Village, "a large club", 6, weapon, mace, none, 1d12 (average 6), two-handed, none, hit roll -1 , equipped by the hobgoblin bodyguard
Gnome Village, "a large club", 6, weapon, mace, none, 1d12 (average 6), two-handed, none, hit roll -1 , equipped by the hobgoblin bodyguard
Gnome Village, "a large club", 6, weapon, mace, none, 1d12 (average 6), two-handed, none, hit roll -1 , equipped by the hobgoblin bodyguard
Gnome Village, "a wooden club", 3, weapon, mace, none, 2d3 (average 4), none, none, hit roll -1 , equipped by the hobgoblin soldier
Gnome Village, "a wooden club", 3, weapon, mace, none, 2d3 (average 4), none, none, hit roll -1 , equipped by the hobgoblin soldier
Gnome Village, "a wooden club", 3, weapon, mace, none, 2d3 (average 4), none, none, hit roll -1 , equipped by the hobgoblin soldier
Gnome Village, "a wooden club", 3, weapon, mace, none, 2d3 (average 4), none, none, hit roll -1 , equipped by the hobgoblin soldier
Gnome Village, "a wooden club", 3, weapon, mace, none, 2d3 (average 4), none, none, hit roll -1 , equipped by the hobgoblin soldier
Gnome Village, "a wooden club", 3, weapon, mace, none, 2d3 (average 4), none, none, hit roll -1 , equipped by the hobgoblin soldier
Gnome Village, "a wooden club", 3, weapon, mace, none, 2d3 (average 4), none, none, hit roll -1 , equipped by the hobgoblin soldier
Gnome Village, "a wooden club", 3, weapon, mace, none, 2d3 (average 4), none, none, hit roll -1 , equipped by the hobgoblin soldier
Gnome Village, "a wicker basket", 0, container, none, none, none, none, none, , in room A Small Gnome House
Gnome Village, "a skiff", 0, boat, none, none, none, none, none, , in room A Gnome Shop
Gnome Village, "a pile of coins", 0, money, none, none, none, none, none, , in room The Altar
Gnome Village, "a large club", 6, weapon, mace, none, 1d12 (average 6), two-handed, none, hit roll -1 , in room The Throne Room
Gnome Village, "a pile of coins", 0, money, none, none, none, none, none, , in room The Treasury
Gnome Village, "a pile of coins", 0, money, none, none, none, none, none, , in room The Treasury
Wyvern's Tower, "a steel broad sword", 11, weapon, sword, none, 2d6 (average 7), none, glow magic, hit roll 1 damage roll 1 , equipped by the savage minotaur
Wyvern's Tower, "a black kite shield", 13, armor, none, shield, 6/6/6/2, none, glow magic, saves 1 , equipped by the savage minotaur
Wyvern's Tower, "a strange key", 12, key, none, hold, none, none, glow magic, armor class -3 , equipped by an evil wight
Wyvern's Tower, "a steel broad sword", 11, weapon, sword, none, 2d6 (average 7), none, glow magic, hit roll 1 damage roll 1 , equipped by the elite gargoyle
Wyvern's Tower, "a steel broad sword", 11, weapon, sword, none, 2d6 (average 7), none, glow magic, hit roll 1 damage roll 1 , equipped by the elite gargoyle
Wyvern's Tower, "the fine mace", 10, weapon, mace, none, 2d6 (average 7), none, magic, hit roll 1 , equipped by the gargoyle shaman
Wyvern's Tower, "a dark red potion", 5, potion, none, hold, none, none, glow magic, , equipped by the gargoyle shaman
Wyvern's Tower, "a steel broad sword", 15, weapon, sword, none, 2d7 (average 8), none, glow magic, hit roll 2 damage roll 2 , equipped by the captain
Wyvern's Tower, "a commander's helm", 20, armor, none, head, 7/7/7/2, none, glow magic, wisdom 1 , equipped by the captain
Wyvern's Tower, "the rod of might", 14, weapon, mace, none, 2d7 (average 8), none, hum magic, hit roll 2 strength 1 , equipped by a lesser golem
Wyvern's Tower, "the rod of might", 14, weapon, mace, none, 2d7 (average 8), none, hum magic, hit roll 2 strength 1 , equipped by a lesser golem
Wyvern's Tower, "a mithril bracer", 12, armor, none, wrist, 4/6/6/2, none, hum magic, strength 1 , equipped by the ancient wyvern
Wyvern's Tower, "a dark red potion", 5, potion, none, hold, none, none, glow magic, , inventory of the ancient wyvern
Wyvern's Tower, "a dark blue cloak", 0, clothing, none, neck, none, none, glow magic, armor class 6 , equipped by the spectre
Wyvern's Tower, "a fur cap", 0, armor, none, head, 2/2/2/0, none, none, , equipped by a trapper
Wyvern's Tower, "a fur cap", 0, armor, none, head, 2/2/2/0, none, none, , equipped by a trapper
Wyvern's Tower, "a short bow", 5, weapon, exotic, none, 2d4 (average 5), none, none, , equipped by a hunter
Wyvern's Tower, "a long bow", 12, weapon, staff, none, 2d6 (average 7), none, glow magic, hp 5 , equipped by a ranger
Wyvern's Tower, "a dark red potion", 5, potion, none, hold, none, none, glow magic, , inventory of a ranger
Wyvern's Tower, "a short bow", 5, weapon, exotic, none, 2d4 (average 5), none, none, , equipped by a centaur
Wyvern's Tower, "a short bow", 5, weapon, exotic, none, 2d4 (average 5), none, none, , equipped by a centaur
Wyvern's Tower, "a steel broad sword", 11, weapon, sword, none, 2d6 (average 7), none, glow magic, hit roll 1 damage roll 1 , equipped by a centaur guard
Wyvern's Tower, "a steel broad sword", 11, weapon, sword, none, 2d6 (average 7), none, glow magic, hit roll 1 damage roll 1 , equipped by a centaur guard
Wyvern's Tower, "a bronze ring", 5, jewelry, none, finger, none, none, magic, mana 5 , equipped by the centaur chief
Wyvern's Tower, "a barrel of ale", 0, drink, none, none, none, none, none, , in room Old Store Room
Wyvern's Tower, "a rusty cleaver", 1, weapon, dagger, none, 1d6 (average 3), none, none, , in room Kitchen
Wyvern's Tower, "a bronze chest", 0, container, none, none, none, none, none, , in room The Armory
Wyvern's Tower, "a long elven dagger", 8, weapon, dagger, none, 2d5 (average 6), none, glow magic, hit roll 2 , in container a bronze chest
The Campgrounds, "A park ranger badge", 20, armor, none, arms, 0/0/0/0, none, bless, saves -2 strength 1 , equipped by the park ranger
The Campgrounds, "a large brown key", 0, key, none, none, none, none, magic, none 0 saves 0 none 0 none 0 , inventory of the park ranger
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a human man
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a human man
The Campgrounds, "a six-pack of beer", 0, container, none, none, none, none, none, , inventory of a human man
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a human man
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a human man
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a human man
The Campgrounds, "a six-pack of beer", 0, container, none, none, none, none, none, , inventory of a human man
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a human man
The Campgrounds, "a black iron skillet", 26, weapon, mace, none, 3d8 (average 13), two-handed stun, none, wisdom 1 hp 2 dexterity -1 strength 1 , equipped by a volare mother
The Campgrounds, "the chromatic robe", 51, armor, none, body, 12/12/12/15, none, glow hum invis magic bless anti-evil, wisdom 2 intelligence 2 hit roll -3 saves -3 damage roll -3 , equipped by nature
The Campgrounds, "a single white cloud", 48, weapon, dagger, none, 2d19 (average 20), frost, invis magic nodrop anti-evil, hit roll 4 , equipped by nature
The Campgrounds, "a faerie wing pendant", 25, jewelry, none, neck, none, none, none, intelligence 3 damage roll -2 , equipped by a faerie mother
The Campgrounds, "a willow switch", 25, weapon, whip, none, 3d8 (average 13), none, none, intelligence 2 damage roll -3 hit roll -1 , equipped by a faerie mother
The Campgrounds, "a bejeweled dagger", 25, weapon, dagger, none, 3d8 (average 13), none, glow invis, , equipped by a faerie father
The Campgrounds, "Fallen One", 51, weapon, sword, none, 5d8 (average 22), vampiric two-handed, evil invis nodrop anti-good anti-neutral noremove no_locate no_uncurse noidentify, constitution -3 dexterity 3 strength 2 moves -40 saves 3 , equipped by Azazel
The Campgrounds, "a bucket of hot Buffalo chicken wings", 0, food, none, none, none, none, none, , inventory of the sparrow
The Campgrounds, "a pile of chicken feed", 0, food, none, none, none, none, none, , inventory of the sparrow
The Campgrounds, "a pair of blacksmithing tongs", 30, staff, none, hold, none, none, none, dexterity -2 moves -100 , equipped by a blacksmith apprentice
The Campgrounds, "a blacksmithing hammer", 20, weapon, mace, none, 3d6 (average 10), none, none, , equipped by a blacksmith apprentice
The Campgrounds, "a blademaster's long sword", 43, weapon, sword, none, 4d8 (average 18), stun, glow bless, dexterity -1 damage roll 2 saves 1 , equipped by a giant blacksmith
The Campgrounds, "gilded armor", 43, armor, none, torso, 8/8/8/10, none, glow, saves -2 constitution 2 wisdom 2 mana -50 , equipped by a giant blacksmith
The Campgrounds, "A head park ranger badge", 30, armor, none, arms, 0/0/0/0, none, bless, intelligence 1 strength -1 wisdom 2 , equipped by the head ranger
The Campgrounds, "the aegis sword", 32, weapon, sword, none, 5d5 (average 15), none, glow bless noremove no_locate, armor class -4 saves -2 , equipped by the head ranger
The Campgrounds, "a chunk of roasted elf", 0, food, none, none, none, none, none, , inventory of a tribal ogre
The Campgrounds, "chipped elf on toast", 0, food, none, none, none, none, none, , inventory of a tribal ogre
The Campgrounds, "an elf bone dagger", 20, weapon, dagger, none, 3d2 (average 4), none, none, intelligence -3 mana 40 , inventory of a tribal ogre
The Campgrounds, "a thick bowl of elf blood soup", 0, food, none, none, none, none, none, , inventory of a tribal ogre
The Campgrounds, "an elf bone dagger", 20, weapon, dagger, none, 3d2 (average 4), none, none, intelligence -3 mana 40 , inventory of a tribal ogre
The Campgrounds, "an elf bone dagger", 20, weapon, dagger, none, 3d2 (average 4), none, none, intelligence -3 mana 40 , inventory of a tribal ogre
The Campgrounds, "a half-elven claymore", 30, weapon, sword, none, 3d6 (average 10), none, none, , equipped by a half-elf father
The Campgrounds, "a half-elven claymore", 30, weapon, sword, none, 3d6 (average 10), none, none, , equipped by a half-elf mother
The Campgrounds, "the dragon kin mark", 30, gem, none, hold, none, none, none, intelligence 3 , equipped by a 1/4 elf-1/4-human-1/2dragon boy
The Campgrounds, "a brand new guitar", 23, key, none, hold, none, none, evil, strength -2 dexterity -4 intelligence -5 armor class 20 , equipped by the park ranger
The Campgrounds, "A park ranger badge", 20, armor, none, arms, 0/0/0/0, none, bless, saves -2 strength 1 , inventory of a little kid
The Campgrounds, "a juicy steak", 0, food, none, none, none, none, none, , inventory of a yinn pack
The Campgrounds, "a feather spear", 45, weapon, staff, none, 7d5 (average 21), holy, glow nodrop, saves -1 strength -1 , equipped by the yinn alpha male
The Campgrounds, "a glass of lemonade", 0, drink, none, hold, none, none, bless, , inventory of the screaming, filthy, lounging harpy
The Campgrounds, "a scratch-and-sniff sticker", 20, clothing, none, hold, none, none, none, constitution 2 , equipped by the screaming, filthy, lounging harpy
The Campgrounds, "a glass of lemonade", 0, drink, none, hold, none, none, bless, , inventory of the screaming, filthy, lounging harpy
The Campgrounds, "a scratch-and-sniff sticker", 20, clothing, none, hold, none, none, none, constitution 2 , equipped by the screaming, filthy, lounging harpy
The Campgrounds, "a glass of lemonade", 0, drink, none, hold, none, none, bless, , inventory of the screaming, filthy, lounging harpy
The Campgrounds, "a scratch-and-sniff sticker", 20, clothing, none, hold, none, none, none, constitution 2 , equipped by the screaming, filthy, lounging harpy
The Campgrounds, "a corroded key", 0, key, none, none, none, none, none, , inventory of the big brown bear
The Campgrounds, "A park ranger badge", 20, armor, none, arms, 0/0/0/0, none, bless, saves -2 strength 1 , equipped by a park ranger
The Campgrounds, "a huge backpack", 0, container, none, body, none, none, none, dexterity -2 , equipped by a hiker
The Campgrounds, "a water jug", 0, drink, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "some freeze dried icecream", 0, food, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "some freeze dried icecream", 0, food, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a delicious sandwich", 0, food, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a delicious sandwich", 0, food, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a chunk of roasted elf", 0, food, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a cheap deck of cards", 20, scroll, none, hold, none, none, none, , in container a huge backpack
The Campgrounds, "A pair of diving bolasses", 0, boat, none, none, none, none, none, , in container a huge backpack
The Campgrounds, "a pewter cup", 0, drink, none, hold, none, none, none, , equipped by a hiker
The Campgrounds, "a tent pole arm", 34, weapon, exotic, none, 5d5 (average 15), two-handed stun, none, dexterity -2 damage roll 4 saves 2 , equipped by a disgruntled tent
The Campgrounds, "a half-elven style dress", 0, clothing, none, body, none, none, none, intelligence -10 , inventory of a pack dragon
The Campgrounds, "an elf skin lantern", 10, light, none, hold, none, none, glow, dexterity -1 wisdom 1 , equipped by a pack dragon
The Campgrounds, "an elf skin lantern", 10, light, none, hold, none, none, glow, dexterity -1 wisdom 1 , equipped by a pack dragon
The Campgrounds, "a dragon fang", 33, weapon, dagger, none, 3d9 (average 15), sharp, evil anti-good anti-neutral, strength -1 , inventory of a pack dragon
The Campgrounds, "an elf skin lantern", 10, light, none, hold, none, none, glow, dexterity -1 wisdom 1 , equipped by a pack dragon
The Campgrounds, "an elf skin lantern", 10, light, none, hold, none, none, glow, dexterity -1 wisdom 1 , equipped by a pack dragon
The Campgrounds, "an elf skin lantern", 10, light, none, hold, none, none, glow, dexterity -1 wisdom 1 , equipped by a pack dragon
The Campgrounds, "an elf skin lantern", 10, light, none, hold, none, none, glow, dexterity -1 wisdom 1 , equipped by a pack dragon
The Campgrounds, "an elf skin lantern", 10, light, none, hold, none, none, glow, dexterity -1 wisdom 1 , equipped by a pack dragon
The Campgrounds, "a toy axe", 0, weapon, axe, none, 1d5 (average 3), none, none, , equipped by a dwarven boy
The Campgrounds, "a two-handed dwarven axe", 17, weapon, axe, none, 2d7 (average 8), two-handed, none, strength 2 hit roll 2 , equipped by a dwarven mother
The Campgrounds, "a two-handed dwarven axe", 17, weapon, axe, none, 2d7 (average 8), two-handed, none, strength 2 hit roll 2 , equipped by a dwarven father
The Campgrounds, "a bottle of bug spray", 20, wand, none, hold, none, none, none, saves 1 , equipped by an elven father
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a waiting wasted kender
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a waiting wasted kender
The Campgrounds, "a barrel of ale", 0, drink, none, none, none, none, none, , inventory of the wasted kender
The Campgrounds, "a chunk of roasted elf", 0, food, none, none, none, none, none, , inventory of a shifty looking man
The Campgrounds, "a thick bowl of elf blood soup", 0, food, none, none, none, none, none, , inventory of a shifty looking man
The Campgrounds, "chipped elf on toast", 0, food, none, none, none, none, none, , inventory of a shifty looking man
The Campgrounds, "a hand-crafted fishing pole", 22, weapon, whip, none, 2d10 (average 11), two-handed, none, wisdom 2 , inventory of a shifty looking man
The Campgrounds, "a delicious sandwich", 0, food, none, none, none, none, none, , inventory of a shifty looking man
The Campgrounds, "a ball of fishing line", 35, trap_part, none, hold, none, none, none, , inventory of a shifty looking man
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , inventory of a shifty looking man
The Campgrounds, "a bottle of champagne", 2, drink, none, hold, none, none, none, , inventory of a shifty looking man
The Campgrounds, "some freeze dried icecream", 0, food, none, none, none, none, none, , inventory of a shifty looking man
The Campgrounds, "a cheap deck of cards", 20, scroll, none, hold, none, none, none, , inventory of a shifty looking man
The Campgrounds, "a box of camping matches", 25, wand, none, hold, none, none, glow, , equipped by a lasher husband
The Campgrounds, "a toothbrush", 31, wand, none, hold, none, none, none, , equipped by a noisy camper
The Campgrounds, "a bucket of hot Buffalo chicken wings", 0, food, none, none, none, none, none, , inventory of the swan
The Campgrounds, "a pile of chicken feed", 0, food, none, none, none, none, none, , inventory of the swan
The Campgrounds, "a bucket of hot Buffalo chicken wings", 0, food, none, none, none, none, none, , inventory of the duck
The Campgrounds, "a bucket of hot Buffalo chicken wings", 0, food, none, none, none, none, none, , inventory of the duck
The Campgrounds, "a gargoyle charm", 27, armor, none, torso, 0/0/0/0, none, glow hum evil magic nodrop noremove, intelligence -3 wisdom -3 moves -200 none 0 armor class -40 none 0 , equipped by a huge gargoyle
The Campgrounds, "a hunting knife", 15, weapon, dagger, none, 2d7 (average 8), vorpal, none, , equipped by a hunter
The Campgrounds, "a ball of fishing line", 35, trap_part, none, hold, none, none, none, , inventory of a fisherman
The Campgrounds, "a hand-crafted fishing pole", 22, weapon, whip, none, 2d10 (average 11), two-handed, none, wisdom 2 , equipped by a fisherman
The Campgrounds, "a fisherman's vest", 22, armor, none, torso, 4/4/4/0, none, none, damage roll 2 mana 20 , equipped by a fisherman
The Campgrounds, "a six-pack of beer", 0, container, none, none, none, none, none, , in room Campsite A1
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a six-pack of beer
The Campgrounds, "a camping fireplace", 0, container, none, none, none, none, nopurge no_locate burn_proof, , in room Campsite A2
The Campgrounds, "a camping fireplace", 0, container, none, none, none, none, nopurge no_locate burn_proof, , in room Campsite A3
The Campgrounds, "a camping fireplace", 0, container, none, none, none, none, nopurge no_locate burn_proof, , in room Campsite A4
The Campgrounds, "the shield of peace", 35, armor, none, shield, 10/10/10/5, none, glow hum, moves 100 strength -1 damage roll 2 , in container a camping fireplace
The Campgrounds, "a bottle of beer", 0, drink, none, none, none, none, none, , in container a camping fireplace
The Campgrounds, "a ring of thorns", 24, jewelry, none, finger, none, none, none, intelligence 1 armor class 5 damage roll 2 saves -1 dexterity -2 , in container a camping fireplace
The Campgrounds, "a cooler", 0, container, none, none, none, none, none, , in room Campsite A4
The Campgrounds, "a bottle of champagne", 2, drink, none, hold, none, none, none, , in container a cooler
The Campgrounds, "a gummy Hassan", 0, food, none, none, none, none, none, , in container a cooler
The Campgrounds, "a strawberry pie", 20, pill, none, none, none, none, magic, , in container a cooler
The Campgrounds, "a box of toothpicks", 0, container, none, none, none, none, none, , in container a cooler
The Campgrounds, "a toothpick", 0, wand, none, hold, none, none, none, , in container a box of toothpicks
The Campgrounds, "a toothpick", 0, wand, none, hold, none, none, none, , in container a box of toothpicks
The Campgrounds, "a toothpick", 0, wand, none, hold, none, none, none, , in container a box of toothpicks
The Campgrounds, "a toothpick", 0, wand, none, hold, none, none, none, , in container a box of toothpicks
The Campgrounds, "a toothpick", 0, wand, none, hold, none, none, none, , in container a box of toothpicks
The Campgrounds, "a toothpick", 0, wand, none, hold, none, none, none, , in container a box of toothpicks
The Campgrounds, "a delicious sandwich", 0, food, none, none, none, none, none, , in container a cooler
The Campgrounds, "a delicious sandwich", 0, food, none, none, none, none, none, , in container a cooler
The Campgrounds, "a delicious sandwich", 0, food, none, none, none, none, none, , in container a cooler
